"No.","Time","Source","Destination","Protocol","Length","Info","Channel","Signal Strength","TCP Payload Size","Packet Size"
"36","6.990280","172.16.254.4","172.16.254.1","TCP","74","8545  >  41476 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1035289051 TSecr=2834212988 WS=128","","","0","74"
"37","6.990296","172.16.254.1","172.16.254.4","TCP","66","41476  >  8545 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=2834212988 TSecr=1035289051","","","0","66"
"38","6.990434","172.16.254.1","172.16.254.4","HTTP/JSON","284","POST / HTTP/1.1 , JSON (application/json)","","","218","284"
"39","6.990439","172.16.254.4","172.16.254.1","TCP","66","8545  >  41476 [ACK] Seq=1 Ack=219 Win=65024 Len=0 TSval=1035289051 TSecr=2834212988","","","0","66"
"40","6.990743","172.16.254.4","172.16.254.1","HTTP/JSON","230","HTTP/1.1 200 OK , JSON (application/json)","","","164","230"
"41","6.990759","172.16.254.1","172.16.254.4","TCP","66","41476  >  8545 [ACK] Seq=219 Ack=165 Win=65408 Len=0 TSval=2834212988 TSecr=1035289051","","","0","66"
"42","6.991260","172.16.254.1","172.16.254.4","TCP","66","41476  >  8545 [FIN, ACK] Seq=219 Ack=165 Win=65536 Len=0 TSval=2834212989 TSecr=1035289051","","","0","66"
"43","6.991343","172.16.254.4","172.16.254.1","TCP","66","8545  >  41476 [FIN, ACK] Seq=165 Ack=220 Win=65024 Len=0 TSval=1035289052 TSecr=2834212989","","","0","66"
"44","6.991360","172.16.254.1","172.16.254.4","TCP","66","41476  >  8545 [ACK] Seq=220 Ack=166 Win=65536 Len=0 TSval=2834212989 TSecr=1035289052","","","0","66"
"45","7.144658","172.16.254.4","172.16.254.2","TCP","98","50700  >  30303 [PSH, ACK] Seq=1 Ack=705 Win=3666 Len=32 TSval=97748424 TSecr=348691479","","","32","98"
"46","7.144694","172.16.254.2","172.16.254.4","TCP","66","30303  >  50700 [ACK] Seq=705 Ack=33 Win=501 Len=0 TSval=348694554 TSecr=97748424","","","0","66"
"47","7.144705","172.16.254.4","172.16.254.2","TCP","67","50700  >  30303 [PSH, ACK] Seq=33 Ack=705 Win=3666 Len=1 TSval=97748424 TSecr=348694554","","","1","67"
"48","7.144712","172.16.254.2","172.16.254.4","TCP","66","30303  >  50700 [ACK] Seq=705 Ack=34 Win=501 Len=0 TSval=348694554 TSecr=97748424","","","0","66"
"49","7.144717","172.16.254.4","172.16.254.2","TCP","69","50700  >  30303 [PSH, ACK] Seq=34 Ack=705 Win=3666 Len=3 TSval=97748424 TSecr=348694554","","","3","69"
"50","7.144721","172.16.254.2","172.16.254.4","TCP","66","30303  >  50700 [ACK] Seq=705 Ack=37 Win=501 Len=0 TSval=348694554 TSecr=97748424","","","0","66"
"51","7.144726","172.16.254.4","172.16.254.2","TCP","78","50700  >  30303 [PSH, ACK] Seq=37 Ack=705 Win=3666 Len=12 TSval=97748424 TSecr=348694554","","","12","78"
"52","7.144730","172.16.254.2","172.16.254.4","TCP","66","30303  >  50700 [ACK] Seq=705 Ack=49 Win=501 Len=0 TSval=348694554 TSecr=97748424","","","0","66"
"53","7.144737","172.16.254.4","172.16.254.2","TCP","82","50700  >  30303 [PSH, ACK] Seq=49 Ack=705 Win=3666 Len=16 TSval=97748424 TSecr=348694554","","","16","82"
"54","7.144742","172.16.254.2","172.16.254.4","TCP","66","30303  >  50700 [ACK] Seq=705 Ack=65 Win=501 Len=0 TSval=348694554 TSecr=97748424","","","0","66"
"55","7.144889","172.16.254.2","172.16.254.4","TCP","98","30303  >  50700 [PSH, ACK] Seq=705 Ack=65 Win=501 Len=32 TSval=348694554 TSecr=97748424","","","32","98"
"56","7.144892","172.16.254.4","172.16.254.2","TCP","66","50700  >  30303 [ACK] Seq=65 Ack=737 Win=3666 Len=0 TSval=97748424 TSecr=348694554","","","0","66"
"57","7.146211","172.16.254.2","172.16.254.4","TCP","67","30303  >  50700 [PSH, ACK] Seq=737 Ack=65 Win=501 Len=1 TSval=348694556 TSecr=97748424","","","1","67"
"58","7.146229","172.16.254.4","172.16.254.2","TCP","66","50700  >  30303 [ACK] Seq=65 Ack=738 Win=3666 Len=0 TSval=97748426 TSecr=348694556","","","0","66"
"59","7.146290","172.16.254.2","172.16.254.4","TCP","69","30303  >  50700 [PSH, ACK] Seq=738 Ack=65 Win=501 Len=3 TSval=348694556 TSecr=97748426","","","3","69"
"60","7.146297","172.16.254.4","172.16.254.2","TCP","66","50700  >  30303 [ACK] Seq=65 Ack=741 Win=3666 Len=0 TSval=97748426 TSecr=348694556","","","0","66"
"61","7.146326","172.16.254.2","172.16.254.4","TCP","78","30303  >  50700 [PSH, ACK] Seq=741 Ack=65 Win=501 Len=12 TSval=348694556 TSecr=97748426","","","12","78"
"62","7.146331","172.16.254.4","172.16.254.2","TCP","66","50700  >  30303 [ACK] Seq=65 Ack=753 Win=3666 Len=0 TSval=97748426 TSecr=348694556","","","0","66"
"63","7.146381","172.16.254.2","172.16.254.4","TCP","82","30303  >  50700 [PSH, ACK] Seq=753 Ack=65 Win=501 Len=16 TSval=348694556 TSecr=97748426","","","16","82"
"64","7.146387","172.16.254.4","172.16.254.2","TCP","66","50700  >  30303 [ACK] Seq=65 Ack=769 Win=3666 Len=0 TSval=97748426 TSecr=348694556","","","0","66"
"65","7.146534","172.16.254.2","172.16.254.4","TCP","98","30303  >  50700 [PSH, ACK] Seq=769 Ack=65 Win=501 Len=32 TSval=348694556 TSecr=97748426","","","32","98"
"66","7.146542","172.16.254.4","172.16.254.2","TCP","66","50700  >  30303 [ACK] Seq=65 Ack=801 Win=3666 Len=0 TSval=97748426 TSecr=348694556","","","0","66"
"67","7.146685","172.16.254.2","172.16.254.4","TCP","67","30303  >  50700 [PSH, ACK] Seq=801 Ack=65 Win=501 Len=1 TSval=348694556 TSecr=97748426","","","1","67"
"68","7.146694","172.16.254.4","172.16.254.2","TCP","66","50700  >  30303 [ACK] Seq=65 Ack=802 Win=3666 Len=0 TSval=97748426 TSecr=348694556","","","0","66"
"69","7.146723","172.16.254.2","172.16.254.4","TCP","69","30303  >  50700 [PSH, ACK] Seq=802 Ack=65 Win=501 Len=3 TSval=348694556 TSecr=97748426","","","3","69"
"70","7.146744","172.16.254.4","172.16.254.2","TCP","66","50700  >  30303 [ACK] Seq=65 Ack=805 Win=3666 Len=0 TSval=97748426 TSecr=348694556","","","0","66"
"71","7.146761","172.16.254.2","172.16.254.4","TCP","78","30303  >  50700 [PSH, ACK] Seq=805 Ack=65 Win=501 Len=12 TSval=348694556 TSecr=97748426","","","12","78"
"72","7.146763","172.16.254.4","172.16.254.2","TCP","66","50700  >  30303 [ACK] Seq=65 Ack=817 Win=3666 Len=0 TSval=97748426 TSecr=348694556","","","0","66"
"73","7.146777","172.16.254.2","172.16.254.4","TCP","82","30303  >  50700 [PSH, ACK] Seq=817 Ack=65 Win=501 Len=16 TSval=348694556 TSecr=97748426","","","16","82"
"74","7.146779","172.16.254.4","172.16.254.2","TCP","66","50700  >  30303 [ACK] Seq=65 Ack=833 Win=3666 Len=0 TSval=97748426 TSecr=348694556","","","0","66"
"75","7.147300","172.16.254.4","172.16.254.2","TCP","98","50700  >  30303 [PSH, ACK] Seq=65 Ack=833 Win=3666 Len=32 TSval=97748427 TSecr=348694556","","","32","98"
"76","7.147318","172.16.254.4","172.16.254.2","TCP","67","50700  >  30303 [PSH, ACK] Seq=97 Ack=833 Win=3666 Len=1 TSval=97748427 TSecr=348694556","","","1","67"
"77","7.147324","172.16.254.4","172.16.254.2","TCP","69","50700  >  30303 [PSH, ACK] Seq=98 Ack=833 Win=3666 Len=3 TSval=97748427 TSecr=348694556","","","3","69"
"78","7.147332","172.16.254.4","172.16.254.2","TCP","78","50700  >  30303 [PSH, ACK] Seq=101 Ack=833 Win=3666 Len=12 TSval=97748427 TSecr=348694556","","","12","78"
"79","7.147346","172.16.254.4","172.16.254.2","TCP","82","50700  >  30303 [PSH, ACK] Seq=113 Ack=833 Win=3666 Len=16 TSval=97748427 TSecr=348694556","","","16","82"
"80","7.147442","172.16.254.2","172.16.254.4","TCP","66","30303  >  50700 [ACK] Seq=833 Ack=129 Win=501 Len=0 TSval=348694557 TSecr=97748427","","","0","66"
"81","12.970562","172.16.254.1","172.16.254.4","TCP","74","42662  >  8545 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM TSval=2834218968 TSecr=0 WS=128","","","0","74"
"82","12.970611","172.16.254.4","172.16.254.1","TCP","74","8545  >  42662 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1035295031 TSecr=2834218968 WS=128","","","0","74"
"83","12.970628","172.16.254.1","172.16.254.4","TCP","66","42662  >  8545 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=2834218968 TSecr=1035295031","","","0","66"
"84","12.970951","172.16.254.1","172.16.254.4","HTTP/JSON","281","POST / HTTP/1.1 , JSON (application/json)","","","215","281"
"85","12.970958","172.16.254.4","172.16.254.1","TCP","66","8545  >  42662 [ACK] Seq=1 Ack=216 Win=65024 Len=0 TSval=1035295032 TSecr=2834218968","","","0","66"
"86","12.971273","172.16.254.4","172.16.254.1","HTTP/JSON","360","HTTP/1.1 200 OK , JSON (application/json)","","","294","360"
"87","12.971291","172.16.254.1","172.16.254.4","TCP","66","42662  >  8545 [ACK] Seq=216 Ack=295 Win=65280 Len=0 TSval=2834218969 TSecr=1035295032","","","0","66"
"88","12.971752","172.16.254.1","172.16.254.4","TCP","66","42662  >  8545 [FIN, ACK] Seq=216 Ack=295 Win=65536 Len=0 TSval=2834218969 TSecr=1035295032","","","0","66"
"89","12.971822","172.16.254.4","172.16.254.1","TCP","66","8545  >  42662 [FIN, ACK] Seq=295 Ack=217 Win=65024 Len=0 TSval=1035295032 TSecr=2834218969","","","0","66"
"90","12.971840","172.16.254.1","172.16.254.4","TCP","66","42662  >  8545 [ACK] Seq=217 Ack=296 Win=65536 Len=0 TSval=2834218969 TSecr=1035295032","","","0","66"
"91","18.269134","172.16.254.2","172.16.254.4","TCP","98","30303  >  50700 [PSH, ACK] Seq=833 Ack=129 Win=501 Len=32 TSval=348705679 TSecr=97748427","","","32","98"
"92","18.269158","172.16.254.4","172.16.254.2","TCP","66","50700  >  30303 [ACK] Seq=129 Ack=865 Win=3666 Len=0 TSval=97759549 TSecr=348705679","","","0","66"
"93","18.269180","172.16.254.2","172.16.254.4","TCP","67","30303  >  50700 [PSH, ACK] Seq=865 Ack=129 Win=501 Len=1 TSval=348705679 TSecr=97759549","","","1","67"
"94","18.269183","172.16.254.4","172.16.254.2","TCP","66","50700  >  30303 [ACK] Seq=129 Ack=866 Win=3666 Len=0 TSval=97759549 TSecr=348705679","","","0","66"
"95","18.269200","172.16.254.2","172.16.254.4","TCP","364","30303  >  50700 [PSH, ACK] Seq=866 Ack=129 Win=501 Len=298 TSval=348705679 TSecr=97759549","","","298","364"
"96","18.269201","172.16.254.4","172.16.254.2","TCP","66","50700  >  30303 [ACK] Seq=129 Ack=1164 Win=3666 Len=0 TSval=97759549 TSecr=348705679","","","0","66"
"97","18.269220","172.16.254.2","172.16.254.4","TCP","71","30303  >  50700 [PSH, ACK] Seq=1164 Ack=129 Win=501 Len=5 TSval=348705679 TSecr=97759549","","","5","71"
"98","18.269222","172.16.254.4","172.16.254.2","TCP","66","50700  >  30303 [ACK] Seq=129 Ack=1169 Win=3666 Len=0 TSval=97759549 TSecr=348705679","","","0","66"
"99","18.269237","172.16.254.2","172.16.254.4","TCP","82","30303  >  50700 [PSH, ACK] Seq=1169 Ack=129 Win=501 Len=16 TSval=348705679 TSecr=97759549","","","16","82"
"100","18.269244","172.16.254.4","172.16.254.2","TCP","66","50700  >  30303 [ACK] Seq=129 Ack=1185 Win=3666 Len=0 TSval=97759549 TSecr=348705679","","","0","66"
"101","18.453140","172.16.254.2","172.16.254.4","TCP","98","30303  >  50700 [PSH, ACK] Seq=1185 Ack=129 Win=501 Len=32 TSval=348705863 TSecr=97759549","","","32","98"
"102","18.453147","172.16.254.4","172.16.254.2","TCP","66","50700  >  30303 [ACK] Seq=129 Ack=1217 Win=3666 Len=0 TSval=97759733 TSecr=348705863","","","0","66"
"103","18.453169","172.16.254.2","172.16.254.4","TCP","67","30303  >  50700 [PSH, ACK] Seq=1217 Ack=129 Win=501 Len=1 TSval=348705863 TSecr=97759733","","","1","67"
"104","18.453171","172.16.254.4","172.16.254.2","TCP","66","50700  >  30303 [ACK] Seq=129 Ack=1218 Win=3666 Len=0 TSval=97759733 TSecr=348705863","","","0","66"
"105","18.453180","172.16.254.2","172.16.254.4","TCP","364","30303  >  50700 [PSH, ACK] Seq=1218 Ack=129 Win=501 Len=298 TSval=348705863 TSecr=97759733","","","298","364"
"106","18.453181","172.16.254.4","172.16.254.2","TCP","66","50700  >  30303 [ACK] Seq=129 Ack=1516 Win=3666 Len=0 TSval=97759733 TSecr=348705863","","","0","66"
"107","18.453190","172.16.254.2","172.16.254.4","TCP","71","30303  >  50700 [PSH, ACK] Seq=1516 Ack=129 Win=501 Len=5 TSval=348705863 TSecr=97759733","","","5","71"
"108","18.453192","172.16.254.4","172.16.254.2","TCP","66","50700  >  30303 [ACK] Seq=129 Ack=1521 Win=3666 Len=0 TSval=97759733 TSecr=348705863","","","0","66"
"109","18.453201","172.16.254.2","172.16.254.4","TCP","82","30303  >  50700 [PSH, ACK] Seq=1521 Ack=129 Win=501 Len=16 TSval=348705863 TSecr=97759733","","","16","82"
"110","18.453202","172.16.254.4","172.16.254.2","TCP","66","50700  >  30303 [ACK] Seq=129 Ack=1537 Win=3666 Len=0 TSval=97759733 TSecr=348705863","","","0","66"
"111","20.149238","172.16.254.2","172.16.254.4","TCP","98","30303  >  50700 [PSH, ACK] Seq=1537 Ack=129 Win=501 Len=32 TSval=348707559 TSecr=97759733","","","32","98"
"112","20.149246","172.16.254.4","172.16.254.2","TCP","66","50700  >  30303 [ACK] Seq=129 Ack=1569 Win=3666 Len=0 TSval=97761429 TSecr=348707559","","","0","66"
"113","20.149273","172.16.254.2","172.16.254.4","TCP","67","30303  >  50700 [PSH, ACK] Seq=1569 Ack=129 Win=501 Len=1 TSval=348707559 TSecr=97761429","","","1","67"
"114","20.149275","172.16.254.4","172.16.254.2","TCP","66","50700  >  30303 [ACK] Seq=129 Ack=1570 Win=3666 Len=0 TSval=97761429 TSecr=348707559","","","0","66"
"115","20.149284","172.16.254.2","172.16.254.4","TCP","364","30303  >  50700 [PSH, ACK] Seq=1570 Ack=129 Win=501 Len=298 TSval=348707559 TSecr=97761429","","","298","364"
"116","20.149286","172.16.254.4","172.16.254.2","TCP","66","50700  >  30303 [ACK] Seq=129 Ack=1868 Win=3666 Len=0 TSval=97761429 TSecr=348707559","","","0","66"
"117","20.149295","172.16.254.2","172.16.254.4","TCP","71","30303  >  50700 [PSH, ACK] Seq=1868 Ack=129 Win=501 Len=5 TSval=348707559 TSecr=97761429","","","5","71"
"118","20.149296","172.16.254.4","172.16.254.2","TCP","66","50700  >  30303 [ACK] Seq=129 Ack=1873 Win=3666 Len=0 TSval=97761429 TSecr=348707559","","","0","66"
"119","20.149306","172.16.254.2","172.16.254.4","TCP","82","30303  >  50700 [PSH, ACK] Seq=1873 Ack=129 Win=501 Len=16 TSval=348707559 TSecr=97761429","","","16","82"
"120","20.149308","172.16.254.4","172.16.254.2","TCP","66","50700  >  30303 [ACK] Seq=129 Ack=1889 Win=3666 Len=0 TSval=97761429 TSecr=348707559","","","0","66"
"121","21.812503","172.16.254.2","172.16.254.4","TCP","98","30303  >  50700 [PSH, ACK] Seq=1889 Ack=129 Win=501 Len=32 TSval=348709222 TSecr=97761429","","","32","98"
"122","21.812510","172.16.254.4","172.16.254.2","TCP","66","50700  >  30303 [ACK] Seq=129 Ack=1921 Win=3666 Len=0 TSval=97763092 TSecr=348709222","","","0","66"
"123","21.812536","172.16.254.2","172.16.254.4","TCP","67","30303  >  50700 [PSH, ACK] Seq=1921 Ack=129 Win=501 Len=1 TSval=348709222 TSecr=97763092","","","1","67"
"124","21.812542","172.16.254.4","172.16.254.2","TCP","66","50700  >  30303 [ACK] Seq=129 Ack=1922 Win=3666 Len=0 TSval=97763092 TSecr=348709222","","","0","66"
"125","21.812554","172.16.254.2","172.16.254.4","TCP","364","30303  >  50700 [PSH, ACK] Seq=1922 Ack=129 Win=501 Len=298 TSval=348709222 TSecr=97763092","","","298","364"
"126","21.812555","172.16.254.4","172.16.254.2","TCP","66","50700  >  30303 [ACK] Seq=129 Ack=2220 Win=3666 Len=0 TSval=97763092 TSecr=348709222","","","0","66"
"127","21.812565","172.16.254.2","172.16.254.4","TCP","71","30303  >  50700 [PSH, ACK] Seq=2220 Ack=129 Win=501 Len=5 TSval=348709222 TSecr=97763092","","","5","71"
"128","21.812573","172.16.254.2","172.16.254.4","TCP","82","30303  >  50700 [PSH, ACK] Seq=2225 Ack=129 Win=501 Len=16 TSval=348709222 TSecr=97763092","","","16","82"
"129","21.812595","172.16.254.4","172.16.254.2","TCP","66","50700  >  30303 [ACK] Seq=129 Ack=2225 Win=3666 Len=0 TSval=97763092 TSecr=348709222","","","0","66"
"130","21.812658","172.16.254.4","172.16.254.2","TCP","66","50700  >  30303 [ACK] Seq=129 Ack=2241 Win=3666 Len=0 TSval=97763092 TSecr=348709222","","","0","66"
"131","22.145876","172.16.254.4","172.16.254.2","TCP","98","50700  >  30303 [PSH, ACK] Seq=129 Ack=2241 Win=3666 Len=32 TSval=97763425 TSecr=348709222","","","32","98"
"132","22.145900","172.16.254.4","172.16.254.2","TCP","67","50700  >  30303 [PSH, ACK] Seq=161 Ack=2241 Win=3666 Len=1 TSval=97763425 TSecr=348709222","","","1","67"
"133","22.145913","172.16.254.4","172.16.254.2","TCP","69","50700  >  30303 [PSH, ACK] Seq=162 Ack=2241 Win=3666 Len=3 TSval=97763425 TSecr=348709222","","","3","69"
"134","22.145919","172.16.254.4","172.16.254.2","TCP","78","50700  >  30303 [PSH, ACK] Seq=165 Ack=2241 Win=3666 Len=12 TSval=97763425 TSecr=348709222","","","12","78"
"135","22.145938","172.16.254.4","172.16.254.2","TCP","82","50700  >  30303 [PSH, ACK] Seq=177 Ack=2241 Win=3666 Len=16 TSval=97763425 TSecr=348709222","","","16","82"
"136","22.145954","172.16.254.2","172.16.254.4","TCP","66","30303  >  50700 [ACK] Seq=2241 Ack=193 Win=501 Len=0 TSval=348709556 TSecr=97763425","","","0","66"
"137","22.145988","172.16.254.2","172.16.254.4","TCP","98","30303  >  50700 [PSH, ACK] Seq=2241 Ack=193 Win=501 Len=32 TSval=348709556 TSecr=97763425","","","32","98"
"138","22.145990","172.16.254.4","172.16.254.2","TCP","66","50700  >  30303 [ACK] Seq=193 Ack=2273 Win=3666 Len=0 TSval=97763426 TSecr=348709556","","","0","66"
"139","22.146007","172.16.254.2","172.16.254.4","TCP","67","30303  >  50700 [PSH, ACK] Seq=2273 Ack=193 Win=501 Len=1 TSval=348709556 TSecr=97763426","","","1","67"
"140","22.146008","172.16.254.4","172.16.254.2","TCP","66","50700  >  30303 [ACK] Seq=193 Ack=2274 Win=3666 Len=0 TSval=97763426 TSecr=348709556","","","0","66"
"141","22.146015","172.16.254.2","172.16.254.4","TCP","69","30303  >  50700 [PSH, ACK] Seq=2274 Ack=193 Win=501 Len=3 TSval=348709556 TSecr=97763426","","","3","69"
"142","22.146017","172.16.254.4","172.16.254.2","TCP","66","50700  >  30303 [ACK] Seq=193 Ack=2277 Win=3666 Len=0 TSval=97763426 TSecr=348709556","","","0","66"
"143","22.146023","172.16.254.2","172.16.254.4","TCP","78","30303  >  50700 [PSH, ACK] Seq=2277 Ack=193 Win=501 Len=12 TSval=348709556 TSecr=97763426","","","12","78"
"144","22.146024","172.16.254.4","172.16.254.2","TCP","66","50700  >  30303 [ACK] Seq=193 Ack=2289 Win=3666 Len=0 TSval=97763426 TSecr=348709556","","","0","66"
"145","22.146035","172.16.254.2","172.16.254.4","TCP","82","30303  >  50700 [PSH, ACK] Seq=2289 Ack=193 Win=501 Len=16 TSval=348709556 TSecr=97763426","","","16","82"
"146","22.146037","172.16.254.4","172.16.254.2","TCP","66","50700  >  30303 [ACK] Seq=193 Ack=2305 Win=3666 Len=0 TSval=97763426 TSecr=348709556","","","0","66"
"147","22.147382","172.16.254.2","172.16.254.4","TCP","98","30303  >  50700 [PSH, ACK] Seq=2305 Ack=193 Win=501 Len=32 TSval=348709557 TSecr=97763426","","","32","98"
"148","22.147384","172.16.254.4","172.16.254.2","TCP","66","50700  >  30303 [ACK] Seq=193 Ack=2337 Win=3666 Len=0 TSval=97763427 TSecr=348709557","","","0","66"
"149","22.147399","172.16.254.2","172.16.254.4","TCP","67","30303  >  50700 [PSH, ACK] Seq=2337 Ack=193 Win=501 Len=1 TSval=348709557 TSecr=97763427","","","1","67"
"150","22.147400","172.16.254.4","172.16.254.2","TCP","66","50700  >  30303 [ACK] Seq=193 Ack=2338 Win=3666 Len=0 TSval=97763427 TSecr=348709557","","","0","66"
"151","22.147407","172.16.254.2","172.16.254.4","TCP","69","30303  >  50700 [PSH, ACK] Seq=2338 Ack=193 Win=501 Len=3 TSval=348709557 TSecr=97763427","","","3","69"
